epoch,step,test_accuracy,test_iou,test_loss,train_loss,val_loss
0,49,,,,0.158979594707489,
0,99,,,,0.15775510668754578,
0,149,,,,0.7016326189041138,
0,199,,,,0.29122447967529297,
0,249,,,,0.13836733996868134,
0,299,,,,0.28632652759552,
0,349,,,,0.8512244820594788,
0,399,,,,0.7338775396347046,
0,449,,,,0.3534693717956543,
0,499,,,,0.009183673188090324,
0,549,,,,0.42408162355422974,
0,599,,,,0.45061224699020386,
0,649,,,,0.19326530396938324,
0,699,,,,1.499795913696289,
0,749,,,,0.8891836404800415,
0,799,,,,0.572857141494751,
0,845,,,,,0.6864286661148071
1,849,,,,0.41591835021972656,
1,899,,,,0.2355102002620697,
1,949,,,,1.594897985458374,
1,999,,,,1.840000033378601,
1,1049,,,,0.4497959017753601,
1,1099,,,,0.14979591965675354,
1,1149,,,,0.3130612075328827,
1,1199,,,,0.9944897890090942,
1,1249,,,,0.026530612260103226,
1,1299,,,,1.6479591131210327,
1,1349,,,,0.3789795935153961,
1,1399,,,,0.03551020473241806,
1,1449,,,,0.21489796042442322,
1,1499,,,,1.3265305757522583,
1,1549,,,,0.05306122452020645,
1,1599,,,,0.8818367123603821,
1,1649,,,,0.1806122362613678,
1,1691,,,,,0.6864286661148071
2,1699,,,,0.5226530432701111,
2,1749,,,,0.5118367075920105,
2,1799,,,,0.0,
2,1849,,,,1.5163265466690063,
2,1899,,,,0.5069387555122375,
2,1949,,,,0.17938774824142456,
2,1999,,,,0.42469388246536255,
2,2049,,,,0.7887755036354065,
2,2099,,,,0.0,
2,2149,,,,0.14918367564678192,
2,2199,,,,2.4002039432525635,
2,2249,,,,0.014693877659738064,
2,2299,,,,0.0004081632650922984,
2,2349,,,,0.7648979425430298,
2,2399,,,,0.559387743473053,
2,2449,,,,1.5348979234695435,
2,2499,,,,0.7034693956375122,
2,2537,,,,,0.6864286661148071
3,2549,,,,0.7620407938957214,
3,2599,,,,0.0,
3,2649,,,,1.0659183263778687,
3,2699,,,,1.1030611991882324,
3,2749,,,,1.0818367004394531,
3,2799,,,,0.26897957921028137,
3,2849,,,,0.8881632685661316,
3,2899,,,,0.06775510311126709,
3,2949,,,,0.0028571428265422583,
3,2999,,,,0.6928571462631226,
3,3049,,,,0.3710204064846039,
3,3099,,,,0.7379591464996338,
3,3149,,,,0.13020408153533936,
3,3199,,,,0.22551019489765167,
3,3249,,,,0.17306122183799744,
3,3299,,,,0.17122448980808258,
3,3349,,,,0.15285713970661163,
3,3383,,,,,0.6864286661148071
4,3399,,,,0.07632652670145035,
4,3449,,,,2.453061103820801,
4,3499,,,,1.25,
4,3549,,,,0.4175510108470917,
4,3599,,,,0.6793877482414246,
4,3649,,,,0.5477551221847534,
4,3699,,,,0.5561224222183228,
4,3749,,,,0.37510204315185547,
4,3799,,,,0.8775510191917419,
4,3849,,,,0.4948979616165161,
4,3899,,,,1.2306122779846191,
4,3949,,,,0.1940816342830658,
4,3999,,,,0.316122442483902,
4,4049,,,,0.28959181904792786,
4,4099,,,,0.456938773393631,
4,4149,,,,0.3585714101791382,
4,4199,,,,0.3316326439380646,
4,4229,,,,,0.6864286661148071
5,4249,,,,0.8528571128845215,
5,4299,,,,0.5148979425430298,
5,4349,,,,0.28918367624282837,
5,4399,,,,0.4404081702232361,
5,4449,,,,0.4912244975566864,
5,4499,,,,1.0385713577270508,
5,4549,,,,0.7051020264625549,
5,4599,,,,0.7977550625801086,
5,4649,,,,1.21367347240448,
5,4699,,,,0.5932652950286865,
5,4749,,,,3.5422449111938477,
5,4799,,,,0.11591836810112,
5,4849,,,,0.4357142746448517,
5,4899,,,,0.672448992729187,
5,4949,,,,1.7461224794387817,
5,4999,,,,0.6302040815353394,
5,5049,,,,0.36265304684638977,
5,5075,,,,,0.6864286661148071
6,5099,,,,0.16265305876731873,
6,5149,,,,0.5867347121238708,
6,5199,,,,0.1708163172006607,
6,5249,,,,0.25387755036354065,
6,5299,,,,0.12469387799501419,
6,5349,,,,0.21244896948337555,
6,5399,,,,0.736530601978302,
6,5449,,,,4.607142925262451,
6,5499,,,,0.011428571306169033,
6,5549,,,,0.7840816378593445,
6,5599,,,,0.0006122448830865324,
6,5649,,,,0.950204074382782,
6,5699,,,,0.3116326630115509,
6,5749,,,,2.2838776111602783,
6,5799,,,,0.5473469495773315,
6,5849,,,,0.2402040809392929,
6,5899,,,,1.295918345451355,
6,5921,,,,,0.6864286661148071
7,5949,,,,0.18244898319244385,
7,5999,,,,1.78632652759552,
7,6049,,,,0.3653061091899872,
7,6099,,,,1.2236734628677368,
7,6149,,,,0.7861224412918091,
7,6199,,,,0.2871428430080414,
7,6249,,,,1.2065305709838867,
7,6299,,,,0.06081632524728775,
7,6349,,,,0.3497959077358246,
7,6399,,,,0.8646938800811768,
7,6449,,,,0.40918368101119995,
7,6499,,,,0.39938774704933167,
7,6549,,,,0.20306122303009033,
7,6599,,,,1.1744897365570068,
7,6649,,,,0.13857142627239227,
7,6699,,,,0.30204081535339355,
7,6749,,,,0.3928571343421936,
7,6767,,,,,0.6864286661148071
8,6799,,,,0.32163265347480774,
8,6849,,,,0.7283673286437988,
8,6899,,,,0.5222448706626892,
8,6949,,,,0.23489795625209808,
8,6999,,,,1.209183692932129,
8,7049,,,,1.3408162593841553,
8,7099,,,,1.582244873046875,
8,7149,,,,1.1795917749404907,
8,7199,,,,0.5199999809265137,
8,7249,,,,0.19591836631298065,
8,7299,,,,0.2489795833826065,
8,7349,,,,0.8438775539398193,
8,7399,,,,0.19346939027309418,
8,7449,,,,1.5826530456542969,
8,7499,,,,0.22816325724124908,
8,7549,,,,0.4995918273925781,
8,7599,,,,0.7675510048866272,
8,7613,,,,,0.6864286661148071
9,7649,,,,0.05755101889371872,
9,7699,,,,0.5618367195129395,
9,7749,,,,0.6263265013694763,
9,7799,,,,0.4265305995941162,
9,7849,,,,0.9418367147445679,
