epoch,step,test_accuracy,test_loss,train_loss,val_loss
0,49,,,0.9948979616165161,
0,99,,,0.9257142543792725,
0,149,,,0.07693877816200256,
0,199,,,0.6563265323638916,
0,249,,,0.8453060984611511,
0,299,,,0.49142855405807495,
0,349,,,0.7657142877578735,
0,399,,,0.36918365955352783,
0,449,,,2.487755060195923,
0,499,,,1.8681632280349731,
0,549,,,1.3457142114639282,
0,599,,,1.332244873046875,
0,649,,,0.7879591584205627,
0,699,,,0.0006122448830865324,
0,749,,,0.2189795821905136,
0,799,,,0.08734694123268127,
0,845,,,,0.6864286661148071
1,846,0.9937241673469543,0.6275647878646851,,
